"","Macropygia_unchall","Chalcophaps_indica","Ducula_badia","Chrysococcyx_maculatus","Eudynamys_scolopaceus","Phaenicophaeus_tristis","Ceyx_erithaca","Megalaima_haemacephala","Megalaima_virens","Picumnus_innominatus","Sasia_ochracea","Blythipicus_pyrrhotis","Chrysocolaptes_lucidus","Dendrocopos_canicapillus","Buceros_bicornis","Strix_nivicola","Glaucidium_brodiei","Loriculus_vernalis","Microhierax_caerulescens","Spelaeornis_formosus","Gracula_religiosa","Troglodytes_troglodytes","Bradypterus_thoracicus","Abroscopus_superciliaris","Alcippe_nipalensis","Pellorneum_ruficeps","Spelaeornis_caudatus","Lioparus_chrysotis","Pycnonotus_striatus","Alophoixus_flaveolus","Cephalopyrus_flammiceps","Sylviparus_modestus","Culicicapa_ceylonensis","Chelidorhynx_hypoxantha","Irena_puella","Arachnothera_magna","Regulus_regulus","Erpornis_zantholeuca","Aegithina_tiphia","Coracina_macei","Dicrurus_caerulescens","Rhipidura_albicollis","Psarisomus_dalhousiae","Pitta_brachyura","Megalaima_australis","Streptopelia_chinensis","Treron_curvirostra","Surniculus_lugubris","Merops_leschenaulti","Megalaima_asiatica","Micropternus_brachyurus","Dendrocopos_auriceps","Aceros_undulatus","Anthracoceros_albirostris","Harpactes_erythrocephalus","Glaucidium_radiatum","Sturnia_malabarica","Enicurus_maculatus","Brachypteryx_leucophrys","Ficedula_monileger","Muscicapa_ferruginea","Zoothera_citrina","Sitta_leucopsis","Certhia_himalayana","Orthotomus_sutorius","Aegithalos_niveogularis","Cettia_brunnescens","Tesia_castaneocoronata","Phylloscopus_maculipennis","Phylloscopus_cantator","Grammatoptila_striata","Turdoides_striata","Leiothrix_argentauris","Trochalopteron_subunicolor","Malacocincla_abbotti","Schoeniparus_rufogularis","Stachyridopsis_rufifrons","Pomatorhinus_ferruginosus","Yuhina_bakeri","Fulvetta_vinipectus","Pnoepyga_albiventer","Hemixos_flavala","Pycnonotus_flaviventris","Parus_rufonuchalis","Chloropsis_hardwickii","Passer_rutilans","Emberiza_fucata","Pyrrhula_aurantiaca","Anthus_roseatus","Prunella_collaris","Dicaeum_agile","Cinnyris_asiaticus","Pteruthius_rufiventer","Oriolus_kundoo","Tephrodornis_gularis","Pericrocotus_solaris","Coracina_melanoptera","Dicrurus_remifer","Hypothymis_azurea","Dendrocitta_formosae","Urocissa_flavirostris","Nucifraga_caryocatactes","Psittacula_alexandri"
"D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,18,14,0,0,0,4,0,0,0,0,0,2,0,0,0,10,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,12,28,20,0,2,4,8,0,0,0,0,22,14,14,0,0,6,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0
"J1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,12,0,2,2,2,0,2,0,2,0,2,0,0,0,0,8,2,0,0,18,0,0,0,0,2,0,6,0,0,0,0,4,2,0,0,0,0,24,2,0,12,0,0,0,0,0,6,0,2,3,2,0,2,2,0,0,0,5
"J2",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,2,0,4,0,22,0,0,0,2,0,16,0,6,0,0,0,28,0,0,0,4,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
"J4",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,2,0,24,0,2,10,0,2,8,2,2,0,0,0,16,0,0,0,10,0,0,0,0,2,0,0,2,4,12,0,6,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2
"J5",0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,8,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4
"J6",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,2,8,2,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,2,14,0,0,0,20,10,0,18,0,0,0,0,0,4,0,0,2,4,0,0,0,0,0,0,0
"K1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,20,4,0,2,2,0,2,0,0,0,0,54,20,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"K2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,32,4,0,0,2,2,4,0,0,0,0,40,34,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
